MEAN,STD,SUM,FORMACION,Value,ColorCode,USO
3.37127780914,0,3.37127780914,Matorral esclerofilo,7,#c6b044,Shrublands
2.01588389388,1.14149429152,54.4288651347,Bosque esclerofilo,7,#c6b044,Shrublands
4.76364718874,3.38789953964,28.5818831325,Bosque esclerofilo,7,#c6b044,Shrublands
1.49648888906,0.477103703265,4.48946666718,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.70858812332,0.108890771866,5.41717624664,Matorral esclerofilo,7,#c6b044,Shrublands
0.77666112615,0.558983055252,13.9799002707,Matorral esclerofilo,7,#c6b044,Shrublands
0.953312337399,0,0.953312337399,Matorral esclerofilo,6,#c6b044,Shrublands
1.77007851667,0.903657615846,15.93070665,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.14975870649,0.868967799518,12.8985522389,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
4.51915359497,0,4.51915359497,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
2.48017716408,0,2.48017716408,Matorral esclerofilo,6,#c6b044,Shrublands
2.00017857552,0.475299935756,6.00053572655,Bosque esclerofilo,7,#c6b044,Shrublands
6.07456505299,0.942463997107,24.2982602119,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
1.02156452622,0.142333749452,7.15095168352,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
1.57169102192,1.07889384485,39.292275548,Matorral esclerofilo,6,#c6b044,Shrublands
7.68939399719,0,7.68939399719,Bosque esclerofilo,7,#c6b044,Shrublands
3.5921933651,0.543422845706,14.3687734604,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.51403779586,0.802011921461,37.7105669379,Matorral esclerofilo,6,#c6b044,Shrublands
1.81254792213,0.369776725769,3.62509584427,Matorral esclerofilo,6,#c6b044,Shrublands
0.804049730301,0.313756410863,5.62834811211,Matorral esclerofilo,7,#c6b044,Shrublands
3.90396475792,0.580092708988,23.4237885475,Bosque esclerofilo,7,#c6b044,Shrublands
4.59775862694,1.11085376438,22.9887931347,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
6.64607667923,0.414258956909,13.2921533585,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
1.09100130945,0.418715017449,8.72801047564,Matorral esclerofilo,7,#c6b044,Shrublands
